id,energy_above_hull,crystal_system,point_group
mp-10,0.112397205,Cubic,m-3m
mp-100,0.17615482,Cubic,m-3m
mp-10010,0,Cubic,m-3m
mp-10000,0,Hexagonal,6/mmm
mp-1001,0,Cubic,m-3m
mp-1,0.038769612,Monoclinic,2/m
mp-10008,0.223534511,Orthorhombic,mmm
mp-10015,0.074911241,Cubic,m-3m
mp-10006,0.098956027,Trigonal,-3m
mp-1001581,0.00240734,Cubic,-43m
mp-1000,0,Orthorhombic,mm2
mp-1001117,0.19562223,Tetragonal,4/mmm
mp-10013,0.278380888,Trigonal,3m
mp-1001023,0.9623757,Trigonal,-3m
mp-10009,0,Tetragonal,-42m
mp-1001113,0.489823953,Cubic,m-3m
mp-10014,0.000242543,Hexagonal,6/mmm
mp-1001571,0.052147252,Cubic,m-3m
mp-1001603,0,Hexagonal,6/mmm
mp-1001604,0,Trigonal,-3m
mp-1001605,0.174182405,Tetragonal,4/mmm
mp-1001827,1.219778965,Orthorhombic,mm2
mp-1001612,0,Trigonal,-3m
mp-1001606,0,Orthorhombic,mmm
mp-1001611,0,Orthorhombic,mmm
mp-1001615,0,Trigonal,-3m
mp-1001613,0,Trigonal,3m
mp-1001784,0.01777461,Trigonal,-3m
mp-1001787,0,Cubic,-43m
mp-1001786,0,Orthorhombic,mm2
mp-1001614,0,Cubic,m-3m
mp-1001783,0.059373865,Trigonal,-3m
mp-1001780,0,Trigonal,-3m
mp-1001788,0.402275356,Orthorhombic,mm2
mp-1001789,0.530975065,Cubic,m-3m
mp-1001825,0.166958201,Hexagonal,6/mmm
mp-1001790,0.239032397,Orthorhombic,mm2
mp-1001785,0.674293575,Cubic,m-3m
mp-1001824,1.42356099,Cubic,-43m
mp-1001826,0.325252255,Monoclinic,2/m
mp-1001828,0.557960241,Hexagonal,-6m2
mp-1001831,0.386053588,Cubic,-43m
mp-1001913,0.269877545,Cubic,m-3m
mp-1001835,0,Cubic,-43m
mp-1001914,0.179693858,Cubic,m-3m
mp-1001917,0.481811145,Cubic,m-3m
mp-1001833,0.025940062,Cubic,m-3m
mp-1002104,0,Hexagonal,-6m2
mp-1002106,0.060316682,Tetragonal,-42m
mp-1001918,1.339074055,Tetragonal,4/mmm
mp-1001836,0,Tetragonal,4/mmm
mp-1001834,0.991350135,Cubic,m-3m
mp-1001916,0.27269067,Orthorhombic,mmm
mp-1001837,0.894262315,Cubic,-43m
mp-1001843,0.54736642,Cubic,m-3m
mp-1001844,0.93819896,Orthorhombic,mmm
mp-10020,0.30813882,Cubic,m-3m
mp-1002063,0.065250357,Cubic,m-3m
mp-1001925,0.705421988,Cubic,-43m
mp-1002083,0.06226113,Cubic,m-3m
mp-1002080,0.275410089,Tetragonal,4/mmm
mp-1002081,0.074571215,Tetragonal,4/mmm
mp-10021,0.017210638,Cubic,m-3m
mp-1002105,0.678368605,Cubic,m-3m
mp-1002069,0.093636729,Tetragonal,4/mmm
mp-1002107,0,Orthorhombic,mmm
mp-1002114,0.018185038,Cubic,-43m
mp-1002115,0,Cubic,m-3m
mp-1002117,0.764661493,Cubic,-43m
mp-1002164,0.437430933,Cubic,m-3m
mp-1002182,0.545003638,Cubic,m-3m
mp-1002197,0.73248935,Cubic,m-3m
mp-1002187,0.377361387,Cubic,-43m
mp-1002109,0.098218534,Cubic,-43m
mp-1002122,0.04242819,Cubic,m-3m
mp-1002219,0.071025235,Cubic,m-3m
mp-1002136,0,Orthorhombic,mmm
mp-1002133,0,Cubic,m-3m
mp-1002181,0.094718668,Cubic,-43m
mp-1002124,0.641422025,Orthorhombic,mmm
mp-1002165,1.270848888,Orthorhombic,mmm
mp-1002123,0,Cubic,m-3m
mp-1002183,0.520840177,Trigonal,-3m
mp-1002184,1.105684667,Cubic,m-3m
mp-1002222,0.971186536,Cubic,m-3m
mp-1002188,0.102731367,Hexagonal,-6m2
mp-1002223,0.540332115,Hexagonal,-6m2
mp-1002209,0.450041322,Cubic,m-3m
mp-1002207,1.133215737,Cubic,-43m
mp-1002210,0.33348016,Cubic,m-3m
mp-1002226,0.490369645,Cubic,m-3m
mp-1002206,0.742744806,Cubic,m-3m
mp-1002220,0.34696571,Cubic,m-3m
mp-1002221,0.190553973,Cubic,m-3m
mp-1002224,0.553665695,Cubic,m-3m
mp-1002227,0.741350928,Cubic,m-3m
mp-10027,0.264816064,Orthorhombic,mmm
mp-1002228,2.008033985,Triclinic,-1
mp-1002569,0.165993454,Cubic,m-3m
mp-10024,0.228250405,Cubic,m-3m
mp-1002229,0.956744155,Cubic,m-3m
mp-10039,0.054898473,Cubic,m-3m
mp-1002571,0.005136301,Cubic,m-3m
mp-10023,0.133509435,Cubic,m-3m
mp-10040,0.765460684,Cubic,m-3m
mp-10026,0,Cubic,m-3m
mp-10036,0,Hexagonal,-6m2
mp-1002573,0.012777187,Triclinic,-1
mp-10030,0.648486402,Monoclinic,2/m
mp-10033,0,Monoclinic,1
mp-1003311,0.039349899,Hexagonal,6/mmm
mp-10037,0.020976696,Hexagonal,6/mmm
mp-1003314,0,Triclinic,-1
mp-10038,1.876636068,Hexagonal,6/mmm
mp-10032,0,Cubic,m-3m
mp-1004,0.21957035,Hexagonal,6mm
mp-1004526,0.431209812,Monoclinic,2
mp-10049,0,Cubic,m-3m
mp-10051,0.090813456,Tetragonal,4/mmm
mp-10054,0.066574814,Cubic,m-3m
mp-10041,1.786531184,Orthorhombic,mmm
mp-1004377,0.535673608,Hexagonal,6/mmm
mp-10044,0.080389767,Cubic,m-3m
mp-10046,0,Orthorhombic,mmm
mp-1004530,0.063858339,Cubic,m-3m
mp-1004524,0.660897257,Cubic,m-3m
mp-1005760,0.973042783,Cubic,-43m
mp-1005761,0.002707906,Hexagonal,6/mmm
mp-1005752,0.010173131,Cubic,m-3m
mp-10048,0.423498395,Cubic,m-3m
mp-10059,0.011627773,Hexagonal,6/mmm
mp-1005,0,Cubic,m-3m
mp-10060,0.110760156,Cubic,m-3m
mp-1006059,0,Cubic,m-3m
