,id,energy_above_hull
0,mp-1000,
1,mp-1,
2,mp-10,
3,mp-100,
4,mp-10008,
5,mp-10010,
6,mp-10009,
7,mp-10006,
8,mp-10000,
9,mp-1001,
10,mp-1001604,
11,mp-1001023,
12,mp-1001113,
13,mp-1001117,
14,mp-1001603,
15,mp-1001571,
16,mp-10015,
17,mp-10014,
18,mp-1001581,
19,mp-10013,
20,mp-1001605,
21,mp-1001606,
22,mp-1001611,
23,mp-1001612,
24,mp-1001615,
25,mp-1001783,
26,mp-1001780,
27,mp-1001613,
28,mp-1001614,
29,mp-1001784,
30,mp-1001785,
31,mp-1001786,
32,mp-1001827,
33,mp-1001787,
34,mp-1001788,
35,mp-1001826,
36,mp-1001825,
37,mp-1001824,
38,mp-1001828,
39,mp-1001790,
40,mp-1001789,
41,mp-1001831,
42,mp-1001837,
43,mp-1001833,
44,mp-1001836,
45,mp-1001843,
46,mp-1001834,
47,mp-1001835,
48,mp-1001917,
49,mp-1001844,
50,mp-1001913,
51,mp-1001914,
52,mp-1001916,
53,mp-1001925,
54,mp-1002081,
55,mp-1001918,
56,mp-10020,
57,mp-1002083,
58,mp-1002063,
59,mp-1002069,
60,mp-1002080,
61,mp-10021,
62,mp-1002104,
63,mp-1002115,
64,mp-1002106,
65,mp-1002105,
66,mp-1002122,
67,mp-1002109,
68,mp-1002123,
69,mp-1002114,
70,mp-1002107,
71,mp-1002117,
72,mp-1002133,
73,mp-1002124,
74,mp-1002136,
75,mp-1002165,
76,mp-1002181,
77,mp-1002164,
78,mp-1002182,
79,mp-1002188,
80,mp-1002197,
81,mp-1002183,
82,mp-1002184,
83,mp-1002187,
84,mp-1002206,
85,mp-1002209,
86,mp-1002210,
87,mp-1002207,
88,mp-1002221,
89,mp-1002220,
90,mp-1002219,
91,mp-1002222,
92,mp-1002224,
93,mp-1002223,
94,mp-10024,
95,mp-1002571,
96,mp-10026,
97,mp-1002226,
98,mp-1002227,
99,mp-1002228,
100,mp-10027,
101,mp-10023,
102,mp-1002229,
103,mp-1002569,
104,mp-1002573,
105,mp-10033,
106,mp-10030,
107,mp-10037,
108,mp-10038,
109,mp-10032,
110,mp-1003311,
111,mp-10039,
112,mp-1003314,
113,mp-10036,
114,mp-1004,
115,mp-10040,
116,mp-1004524,
117,mp-10041,
118,mp-1004377,
119,mp-10044,
120,mp-10046,
121,mp-10049,
122,mp-10051,
123,mp-1004526,
124,mp-10054,
125,mp-10055,
126,mp-10048,
127,mp-1004530,
128,mp-1005,
129,mp-1005762,
130,mp-10058,
131,mp-10052,
132,mp-1005693,
133,mp-10059,
134,mp-1005895,
135,mp-1005752,
136,mp-1005760,
137,mp-1006057,
138,mp-1005761,
139,mp-1006059,
140,mp-10061,
141,mp-1006150,
142,mp-10060,
143,mp-1006246,
144,mp-10063,
145,mp-1006283,
146,mp-1006256,
147,mp-1006132,
148,mp-1006068,
149,mp-1006146,
150,mp-1006351,
151,mp-1006330,
152,mp-1006878,
153,mp-1006880,
154,mp-1006112,
155,mp-10064,
156,mp-1006323,
157,mp-1006399,
158,mp-10068,
159,mp-1006882,
160,mp-1006883,
161,mp-1006815,
162,mp-1006886,
163,mp-1006884,
164,mp-1006887,
165,mp-1006888,
166,mp-1006891,
167,mp-1007,
168,mp-10074,
169,mp-1007636,
170,mp-1007652,
171,mp-1006885,
172,mp-1007661,
173,mp-1007665,
174,mp-1007660,
175,mp-1007685,
176,mp-1007637,
177,mp-1007656,
178,mp-1007657,
179,mp-1007690,
180,mp-1007691,
181,mp-1007663,
182,mp-1007664,
183,mp-1007666,
184,mp-1007730,
185,mp-1007760,
186,mp-1007770,
187,mp-1007778,
188,mp-1007786,
189,mp-1007692,
190,mp-10078,
191,mp-1007693,
192,mp-1007761,
193,mp-1007755,
194,mp-1007758,
195,mp-1007776,
196,mp-1007821,
197,mp-1007854,
198,mp-1007853,
199,mp-1007855,
200,mp-1007862,
201,mp-10079,
202,mp-1007819,
203,mp-1007824,
204,mp-1007823,
205,mp-1007852,
206,mp-1007906,
207,mp-1007857,
208,mp-1007910,
209,mp-1007922,
210,mp-1007881,
211,mp-1007923,
212,mp-1007900,
213,mp-1007961,
214,mp-1007907,
215,mp-1007975,
216,mp-1007976,
217,mp-1007924,
218,mp-1007908,
219,mp-1007992,
220,mp-1007918,
221,mp-1008,
222,mp-1008226,
223,mp-1008274,
224,mp-1007991,
225,mp-1008277,
226,mp-1008275,
227,mp-1007974,
228,mp-1008223,
229,mp-1008225,
230,mp-1008224,
231,mp-1008279,
232,mp-1008282,
233,mp-1008278,
234,mp-1008349,
235,mp-1008394,
236,mp-1008376,
237,mp-1008374,
238,mp-1008395,
239,mp-1008280,
240,mp-1008283,
241,mp-1008284,
242,mp-1008471,
243,mp-1008472,
244,mp-1008285,
245,mp-1008488,
246,mp-1008487,
247,mp-1008491,
248,mp-1008500,
249,mp-1008501,
250,mp-1008506,
251,mp-1008483,
252,mp-1008489,
253,mp-1008490,
254,mp-1008492,
255,mp-1008498,
256,mp-1008505,
257,mp-1008527,
258,mp-1008511,
259,mp-1008523,
260,mp-1008554,
261,mp-1008524,
262,mp-1008525,
263,mp-1008526,
264,mp-1008555,
265,mp-1008556,
266,mp-1008557,
267,mp-1008528,
268,mp-1008559,
269,mp-1008558,
270,mp-1008530,
271,mp-1008568,
272,mp-10086,
273,mp-1008601,
274,mp-1008600,
275,mp-1008610,
276,mp-1008617,
277,mp-1008561,
278,mp-1008625,
279,mp-1008624,
280,mp-1008630,
281,mp-1008626,
282,mp-1008631,
283,mp-1008634,
284,mp-1008650,
285,mp-1008635,
286,mp-1008653,
287,mp-1008676,
288,mp-1008677,
289,mp-1008681,
290,mp-1008680,
291,mp-1008682,
292,mp-1008688,
293,mp-1008632,
294,mp-1008689,
295,mp-1008673,
296,mp-1008661,
297,mp-10087,
298,mp-1008702,
299,mp-1008728,
300,mp-1008726,
301,mp-1008753,
302,mp-1008752,
303,mp-1008727,
304,mp-1008754,
305,mp-1008755,
306,mp-1008785,
307,mp-1008798,
308,mp-1008733,
309,mp-1008802,
310,mp-1008806,
311,mp-1008777,
312,mp-1008762,
313,mp-1008776,
314,mp-1008820,
315,mp-1008813,
316,mp-1008786,
317,mp-1008823,
318,mp-1008805,
319,mp-1008826,
320,mp-1008832,
321,mp-1008835,
322,mp-1008807,
323,mp-1008858,
324,mp-1008860,
325,mp-1008809,
326,mp-1008866,
327,mp-1008872,
328,mp-1008873,
329,mp-1008876,
330,mp-1008867,
331,mp-1008874,
332,mp-1008875,
333,mp-1008903,
334,mp-1008910,
335,mp-1008901,
336,mp-1008912,
337,mp-1008865,
338,mp-1008920,
339,mp-1008881,
340,mp-1008911,
341,mp-1008922,
342,mp-1008902,
343,mp-1008923,
344,mp-1008918,
345,mp-1008925,
346,mp-1008926,
347,mp-1008928,
348,mp-1008921,
349,mp-1008927,
350,mp-1008929,
351,mp-1008931,
352,mp-1008924,
353,mp-1008985,
354,mp-1008986,
355,mp-1008998,
356,mp-1009005,
357,mp-1009007,
358,mp-1008965,
359,mp-1009008,
360,mp-1009009,
361,mp-1009014,
362,mp-1008987,
363,mp-1008999,
364,mp-1009015,
365,mp-1009016,
366,mp-1009006,
367,mp-1009017,
368,mp-1009018,
369,mp-1009019,
370,mp-1009020,
371,mp-1009049,
372,mp-1009071,
373,mp-1009079,
374,mp-1009078,
375,mp-1009080,
376,mp-1009048,
377,mp-1009084,
378,mp-1009085,
379,mp-1009086,
380,mp-1009077,
381,mp-1009088,
382,mp-1009082,
383,mp-1009083,
384,mp-1009127,
385,mp-1009128,
386,mp-1009129,
387,mp-1009131,
388,mp-1009130,
389,mp-1009087,
390,mp-1009113,
391,mp-1009133,
392,mp-1009135,
393,mp-10092,
394,mp-1009206,
395,mp-1009207,
396,mp-1009213,
397,mp-1009217,
398,mp-1009132,
399,mp-1009219,
400,mp-1009218,
401,mp-1009134,
402,mp-1009222,
403,mp-1009220,
404,mp-1009223,
405,mp-1009237,
406,mp-1009238,
407,mp-1009458,
408,mp-1009264,
409,mp-1009221,
410,mp-1009459,
411,mp-1009471,
412,mp-1009460,
413,mp-1009483,
414,mp-1009230,
415,mp-1009485,
416,mp-1009488,
417,mp-1009489,
418,mp-1009495,
419,mp-1009496,
420,mp-1009491,
421,mp-1009533,
422,mp-1009537,
423,mp-1009540,
424,mp-1009539,
425,mp-1009490,
426,mp-1009544,
427,mp-1009541,
428,mp-1009504,
429,mp-1009547,
430,mp-1009543,
431,mp-1009538,
432,mp-1009548,
433,mp-1009551,
434,mp-1009582,
435,mp-1009592,
436,mp-1009583,
437,mp-1009593,
438,mp-1009594,
439,mp-1009596,
440,mp-1009639,
441,mp-1009555,
442,mp-1009581,
443,mp-1009641,
444,mp-1009646,
445,mp-1009648,
446,mp-1009651,
447,mp-1009601,
448,mp-1009652,
449,mp-1009640,
450,mp-1009653,
451,mp-1009655,
452,mp-1009654,
453,mp-1009649,
454,mp-1009650,
455,mp-1009663,
456,mp-1009694,
457,mp-1009695,
458,mp-1009720,
459,mp-1009696,
460,mp-1009730,
461,mp-1009657,
462,mp-1009731,
463,mp-1009733,
464,mp-1009732,
465,mp-1009734,
466,mp-1009748,
467,mp-1009747,
468,mp-1009751,
469,mp-1009755,
470,mp-1009753,
471,mp-1009757,
472,mp-1009735,
473,mp-1009766,
474,mp-1009746,
475,mp-1009767,
476,mp-1009750,
477,mp-1009769,
478,mp-1009752,
479,mp-1009756,
480,mp-1009787,
481,mp-1009792,
482,mp-1009813,
483,mp-1009814,
484,mp-1009818,
485,mp-1009819,
486,mp-1009770,
487,mp-1009820,
488,mp-1009826,
489,mp-10098,
490,mp-1009829,
491,mp-1009817,
492,mp-1009830,
493,mp-1009832,
494,mp-1009833,
495,mp-1009823,
496,mp-1009822,
497,mp-1009827,
498,mp-1009834,
499,mp-1009835,
500,mp-1009836,
501,mp-1009828,
502,mp-1009831,
503,mp-1009837,
504,mp-1009848,
505,mp-1009839,
506,mp-1009878,
507,mp-1009885,
508,mp-1009894,
509,mp-101,
510,mp-1010,
511,mp-1010048,
512,mp-1009838,
513,mp-1010071,
514,mp-10101,
515,mp-1010136,
516,mp-10106,
517,mp-1010953,
518,mp-10110,
519,mp-10112,
520,mp-10113,
521,mp-1011374,
522,mp-1011375,
523,mp-1010161,
524,mp-1011376,
525,mp-10102,
526,mp-1011377,
527,mp-1011695,
528,mp-1011697,
529,mp-1011031,
