id,energy_above_hull,crystal_system,point_group
mp-10010,0.0,Cubic,m-3m
mp-10000,0.0,Hexagonal,6/mmm
mp-1001,0.0,Cubic,m-3m
mp-1001581,0.00240734,Cubic,-43m
mp-1000,0.0,Orthorhombic,mm2
mp-10009,0.0,Tetragonal,-42m
mp-1001603,0.0,Hexagonal,6/mmm
mp-1001604,0.0,Trigonal,-3m
mp-1001612,0.0,Trigonal,-3m
mp-1001606,0.0,Orthorhombic,mmm
mp-1001611,0.0,Orthorhombic,mmm
mp-1001615,0.0,Trigonal,-3m
mp-1001613,0.0,Trigonal,3m
mp-1001787,0.0,Cubic,-43m
mp-1001786,0.0,Orthorhombic,mm2
mp-1001614,0.0,Cubic,m-3m
mp-1001780,0.0,Trigonal,-3m
mp-1001835,0.0,Cubic,-43m
mp-1002104,0.0,Hexagonal,-6m2
mp-1001836,0.0,Tetragonal,4/mmm
mp-1002107,0.0,Orthorhombic,mmm
mp-1002114,0.018185038,Cubic,-43m
mp-1002115,0.0,Cubic,m-3m
mp-1002136,0.0,Orthorhombic,mmm
mp-1002133,0.0,Cubic,m-3m
mp-1002123,0.0,Cubic,m-3m
mp-1002571,0.005136301,Cubic,m-3m
mp-10026,0.0,Cubic,m-3m
mp-10036,0.0,Hexagonal,-6m2
mp-1002573,0.012777187,Triclinic,-1
mp-10033,0.0,Monoclinic,1
mp-1003311,0.039349899,Hexagonal,6/mmm
mp-10037,0.020976696,Hexagonal,6/mmm
mp-1003314,0.0,Triclinic,-1
mp-10032,0.0,Cubic,m-3m
mp-10049,0.0,Cubic,m-3m
mp-10046,0.0,Orthorhombic,mmm
mp-1005761,0.002707906,Hexagonal,6/mmm
mp-10059,0.011627773,Hexagonal,6/mmm
mp-1005,0.0,Cubic,m-3m
mp-1006059,0.0,Cubic,m-3m
mp-1006057,0.00381781,Hexagonal,-6m2
mp-10055,0.011681004,Hexagonal,6/mmm
mp-1005693,0.0,Hexagonal,6/mmm
mp-1006146,0.0,Cubic,m-3m
mp-1005895,0.018995453,Hexagonal,6/mmm
mp-10058,0.0,Tetragonal,-42m
mp-1006068,0.023194682,Hexagonal,6/mmm
mp-1006256,0.001448843,Cubic,m-3m
mp-10063,0.0,Trigonal,-3m
mp-1006399,0.0,Cubic,m-3m
mp-10068,0.0,Hexagonal,6/mmm
mp-1006888,0.0,Cubic,m-3m
