id,Density
mp-989737,9.922634875
mp-37153,3.264040327
mp-997022,5.066045768
mp-4483,6.446551482
mp-1229092,14.06033119
mp-996983,9.117951665
mp-37920,5.660237989
mp-863750,15.99953403
mp-996969,7.700585173
mp-1229121,7.057910391
mp-1183166,11.71361009
mp-29678,6.99270964
mp-27916,7.78140354
mp-29656,7.915842622
mp-1229113,7.856104367
mp-866291,4.917995434
mp-1178562,4.572963514
mp-22922,5.356180845
mp-22993,3.887752651
mp-7592,6.624220956
mp-7715,5.06192668
mp-1229030,7.308731532
mp-996958,4.21691087
mp-997000,8.607439519
mp-861501,12.40963548
mp-22925,5.324385941
mp-33154,5.145414428
mp-8196,4.213744204
mp-499,6.752472955
mp-997101,4.303992068
mp-34418,2.980259016
mp-1078079,10.09715461
mp-1025385,16.55107217
mp-1206101,5.040407641
mp-997019,7.721378428
mp-1229012,10.69361505
mp-1183167,14.43008853
mp-997038,7.382145986
mp-1229031,12.88228481
mp-1229015,15.24742407
mp-997006,9.797313902
mp-1229032,18.35505915
mp-1018033,7.55834099
mp-1229000,6.641142336
mp-12360,6.977442792
mp-1229036,7.312595981
mp-10809,4.416421521
mp-1229011,6.746249424
mp-1229006,6.977893004
mp-28246,7.015987584
mp-1229120,7.179529876
mp-1391,8.309678915
mp-23485,5.456795813
mp-353,6.784390643
mp-31053,5.622197142
mp-1229100,7.248676656
mp-1229101,7.378891534
mp-1183214,11.97546466
mp-34460,6.072211435
mp-985443,11.37676092
mp-27819,8.823462748
mp-985296,10.31559559
mp-12065,12.46041406
mp-1229116,6.124830462
mp-16240,9.23715203
mp-611,9.406571034
mp-1229118,9.331257034
mp-134,2.720049585
mp-1228901,6.634265613
mp-9631,6.05958675
mp-5782,3.80189301
mp-14091,4.791076153
mp-1228963,4.768387618
mp-14092,5.137259666
mp-985805,7.814765925
mp-2172,3.590699212
mp-7849,2.702323071
mp-1025306,15.95289561
mp-1399,10.5423521
mp-16613,9.21303003
mp-1018179,13.71312988
mp-7574,6.30129593
mp-1070916,10.43968329
mp-944,3.147666212
mp-1228925,4.888002667
mp-27863,2.642278213
mp-25469,2.215248954
mp-284,6.136768975
mp-1251112,3.550746334
mp-1228972,8.287713675
mp-10010,5.38758579
mp-10037,6.944422257
mp-1262600,3.281891792
mp-16495,6.94949447
mp-1228945,5.975565505
mp-862781,8.726919397
mp-1699,5.748722101
mp-7692,5.327369202
mp-9956,5.338343764
mp-637575,5.374775033
mp-1228967,6.131138957
mp-1228922,6.432723567
mp-867306,12.90732538
mp-1228980,4.738350749
mp-1228938,8.259199427
mp-3748,4.978571486
mp-866296,9.053517084
mp-12550,14.1301705
mp-1183191,9.190181757
mp-4979,3.435993537
mp-1229065,4.099794373
mp-8016,4.651354686
mp-1229027,4.801565693
mp-8017,5.129281725
mp-12802,7.287481775
mp-468,3.021262156
mp-2658,5.791723495
mp-10884,7.183512826
mp-28901,3.420992536
mp-1183163,14.06001549
mp-861953,8.787100446
mp-3805,5.791994059
mp-1183187,7.484739226
mp-672259,7.741150965
mp-867878,6.289050137
mp-862288,10.59554721
mp-1183162,6.647849573
mp-22793,6.473381532
mp-1206123,6.501085531
mp-1228891,4.332310285
mp-1228893,7.53244264
mp-1228907,3.859674067
mp-1229038,4.476543573
mp-1228950,5.019132513
mp-1183158,14.25278188
mp-1228894,4.631952214
mp-1183173,7.316309433
mp-1228918,8.203433795
mp-1228888,3.159060128
mp-1183218,9.025088348
mp-1228895,4.681558124
mp-1183208,5.401337419
mp-1228943,5.293715199
mp-1228900,7.1056811
mp-867904,9.15991927
mp-625054,3.004164409
mp-23933,1.459511166
mp-1228935,4.297734586
mp-1228926,5.147794187
mp-1229077,4.059538012
mp-1229046,5.115242566
mp-1228917,4.968221829
mp-1245856,5.397905906
mp-1228890,4.829477549
mp-1885,13.24493796
mp-259,8.470007673
mp-661,3.200889713
mp-1487,5.906844592
mp-1228803,5.849290791
mp-1025044,6.948461253
mp-2593,7.466731653
mp-1228832,8.369991206
mp-875,13.12163937
mp-1550,2.304785562
mp-7848,2.10330828
mp-1025271,15.96930025
mp-1071955,1.709847754
mp-7189,7.491359435
mp-1183143,9.62282541
mp-27393,7.734447488
mp-10904,12.40425435
mp-1080448,16.82610359
mp-1228815,12.27629997
mp-1228817,10.8393455
mp-1228809,9.703823895
mp-10909,15.20720043
mp-364,7.934751924
mp-542569,7.832534965
mp-2624,4.078412269
mp-676861,5.632514526
mp-1227998,3.180384984
mp-1228015,5.767725252
mp-1228032,8.628213717
mp-1228043,6.061604569
mp-1228041,7.76613683
mp-862778,8.201259241
mp-1227997,9.395586226
mp-1253073,3.731429731
mp-1018166,8.66348098
mp-5606,5.761775533
mp-14105,6.61887108
mp-9579,5.885180659
mp-1228001,4.525185558
mp-4955,6.818543377
mp-1228847,5.0946321
mp-1248567,3.263644537
mp-1008530,6.80110776
mp-5778,6.77332773
mp-10899,6.672940104
mp-862700,13.8822113
mp-866001,8.575394574
mp-1228006,5.060291952
mp-1025497,4.872389282
mp-1387,5.367846693
mp-1228807,6.04413782
mp-1228829,6.116798638
mp-1228831,6.494104926
mp-1228822,6.387969117
mp-1182867,7.187899025
mp-1183151,7.004030896
mp-1228824,3.197086704
mp-862705,14.26110295
mp-866033,9.017765234
mp-2647,7.476904945
mp-5928,3.000015221
mp-3159,4.257187857
mp-7909,4.750712417
mp-867319,9.846395987
mp-1228913,5.997869846
mp-984352,9.731906873
mp-862695,6.975698535
mp-1228929,5.57491222
mp-1228949,7.137034879
mp-985806,4.064939117
mp-1079890,9.43785743
mp-1183165,6.688656084
mp-862691,5.977171574
mp-866031,9.665035142
mp-1228910,5.909211114
mp-1183147,6.91954326
mp-7906,3.882167803
mp-3038,5.014468965
mp-7910,5.371464355
mp-866284,13.20946087
mp-862694,10.56776491
mp-865989,10.57596406
mp-1183155,9.656485953
mp-867775,6.966921687
mp-7188,9.597862886
mp-1183136,10.53287627
mp-16522,5.071368202
mp-862715,7.836060882
mp-1502,7.858008759
mp-10910,6.098591757
mp-867125,10.46384156
mp-867326,7.905751476
mp-1228443,5.939778065
mp-1183135,7.593977084
mp-9254,4.456917871
mp-1206713,4.125610222
mp-1096810,2.761557601
mp-1228479,3.499911463
mp-7907,4.145149539
mp-7908,4.705688468
mp-867780,3.815305682
mp-985825,4.022425562
mp-10886,4.630631528
mp-983594,3.716755338
mp-1228436,3.937986452
mp-1228473,8.026152997
mp-2294,7.266572998
mp-1057,4.767798907
mp-1228921,8.37187832
mp-16514,6.717313154
mp-16521,10.98122996
mp-10901,5.997110471
mp-10905,9.60067116
mp-1070580,6.806709097
mp-1228909,7.600534888
mp-2554,3.714657278
mp-983585,3.763161823
mp-1591,2.930804107
mp-1228701,9.722088585
mp-1228186,7.848330929
mp-1228117,3.742360153
