Composition,Density
Ag1,9.888473947036914
Ag1 As1,7.941189801728027
Ag1 As1 F6,3.264040327164285
Ag1 As1 O2,5.066045767798683
Ag1 As1 Ru2,10.185426461398478
Ag1 As1 Se2,6.446551481834724
Ag1 Au1,14.028065961543124
Ag1 Au1 O2,8.947457572129613
Ag1 Au1 S2,5.660237988889108
Ag1 Au3,15.957040563477603
Ag1 B1 O3,6.548744367105115
Ag1 B2,6.668703845978472
Ag1 Bi1 O2,7.582117351272498
Ag1 Bi1 Pb1 S3,7.057910390573253
Ag1 Bi1 Pd2,11.71361008913556
Ag1 Bi1 S2,6.932464224774485
Ag1 Bi1 Se1 S1,7.407995033474446
Ag1 Bi1 Se2,4.298290935817174
Ag1 Bi1 Te1 Se1,7.822255408644641
Ag1 Bi1 Te2,7.832653923155901
Ag1 Bi1 Te3 Pb1,7.856104366659133
Ag1 Br1,4.917995433683658
Ag1 Br1 O2,3.090846976931512
Ag1 Br1 O3,4.572963514409799
Ag1 C1,6.542021510073919
Ag1 C1 N1,3.0973646246145288
Ag1 C1 N1 O1,3.4215856025807203
Ag1 C6,1.7554407701141153
Ag1 Cl1,5.356180845292489
Ag1 Cl1 O2,2.6867736649012284
Ag1 Cl1 O3,4.1342602849418615
Ag1 Cl1 O4,3.4767563227761213
Ag1 F1,6.624220955833901
Ag1 F2,5.061926680155515
Ag1 Ge1 Au2,1.0752770697636704
Ag1 Ge1 Bi1 Te3,7.308731531874199
Ag1 Ge3,6.860004287321993
Ag1 H1,7.757016317640359
Ag1 H1 O2,4.216910870486556
Ag1 Hg1,12.105573628551594
Ag1 Hg1 O2,8.607439519434182
Ag1 Hg1 Pd2,12.40963548115666
Ag1 Hg3,12.889389675443114
Ag1 I1,0.5321381835694491
Ag1 I2,5.145414428420103
Ag1 Ir1,15.46694780888715
Ag1 N1,4.802481289392578
Ag1 N1 O2,3.945509421071105
Ag1 N1 O3,4.21374420425511
Ag1 N3,4.322439136641746
Ag1 O1,6.3241740485333695
Ag1 O2,4.736419902247412
Ag1 O2 F1,4.20640771062423
Ag1 P1 F6,2.980259016074546
Ag1 P1 Pd5,10.097154607475742
Ag1 P1 Pt5,16.551072170711873
Ag1 Pb1 Br1 O1,5.909104663224649
Ag1 Pb1 F6,5.040407641408272
Ag1 Pb1 O2,7.721378428408064
Ag1 Pb3,10.542457753730062
Ag1 Pd1,10.69361505301019
Ag1 Pd1 Au2,14.43008853016432
Ag1 Pd1 O2,7.149245035556582
Ag1 Pd2 Au1,1.0050637865401093
Ag1 Pd2 Pb1,0.8649713132822026
Ag1 Pt1,15.149805275056655
Ag1 Pt1 O2,9.797313901605593
Ag1 Pt3,17.89164822597189
Ag1 Pt4,18.35505915317008
Ag1 Rh1,10.893824043721382
Ag1 Rh1 O2,7.551818652306676
Ag1 Sb1 N2,7.365692790964949
