,id,crystal_system,point_group
0,mp-1,cubic,m-3m
1,mp-10,cubic,m-3m
2,mp-100,cubic,m-3m
3,mp-1000,cubic,m-3m
4,mp-10000,hexagonal,6/mmm
5,mp-10006,tetragonal,-42m
6,mp-10008,cubic,m-3m
7,mp-10009,hexagonal,6/mmm
8,mp-1001,monoclinic,2/m
9,mp-10010,trigonal,-3m
10,mp-1001023,tetragonal,4/mmm
11,mp-1001113,orthorhombic,mmm
12,mp-1001117,monoclinic,2/m
13,mp-10013,cubic,-43m
14,mp-10014,trigonal,3m
15,mp-10015,cubic,m-3m
16,mp-1001571,cubic,m-3m
17,mp-1001581,hexagonal,6/mmm
18,mp-1001603,orthorhombic,mm2
19,mp-1001604,trigonal,-3m
20,mp-1001605,tetragonal,4/mmm
21,mp-1001606,orthorhombic,mm2
22,mp-1001611,trigonal,-3m
23,mp-1001612,orthorhombic,mmm
24,mp-1001613,orthorhombic,mmm
25,mp-1001614,orthorhombic,mm2
26,mp-1001615,trigonal,-3m
27,mp-1001780,trigonal,3m
28,mp-1001783,trigonal,-3m
29,mp-1001784,trigonal,-3m
30,mp-1001785,cubic,m-3m
31,mp-1001786,trigonal,-3m
32,mp-1001787,orthorhombic,mm2
33,mp-1001788,cubic,m-3m
34,mp-1001789,cubic,-43m
35,mp-1001790,orthorhombic,mm2
36,mp-1001824,cubic,m-3m
37,mp-1001825,monoclinic,2/m
38,mp-1001826,cubic,-43m
39,mp-1001827,hexagonal,-6m2
40,mp-1001828,cubic,-43m
41,mp-1001831,cubic,m-3m
42,mp-1001833,cubic,-43m
43,mp-1001834,cubic,m-3m
44,mp-1001835,hexagonal,6/mmm
45,mp-1001836,tetragonal,4/mmm
46,mp-1001837,cubic,-43m
47,mp-1001843,cubic,m-3m
48,mp-1001844,cubic,m-3m
49,mp-1001913,cubic,m-3m
50,mp-1001914,cubic,m-3m
51,mp-1001916,cubic,-43m
52,mp-1001917,cubic,m-3m
53,mp-1001918,cubic,m-3m
54,mp-1001925,hexagonal,-6m2
55,mp-10020,cubic,m-3m
56,mp-1002063,tetragonal,-42m
57,mp-1002069,tetragonal,4/mmm
58,mp-1002080,tetragonal,4/mmm
59,mp-1002081,tetragonal,4/mmm
60,mp-1002083,tetragonal,4/mmm
61,mp-10021,orthorhombic,mmm
62,mp-1002104,orthorhombic,mmm
63,mp-1002105,cubic,m-3m
64,mp-1002106,cubic,m-3m
65,mp-1002107,orthorhombic,mmm
66,mp-1002109,cubic,m-3m
67,mp-1002114,cubic,m-3m
68,mp-1002115,orthorhombic,mmm
69,mp-1002117,cubic,m-3m
70,mp-1002122,cubic,m-3m
71,mp-1002123,trigonal,-3m
72,mp-1002124,cubic,-43m
73,mp-1002133,orthorhombic,mmm
74,mp-1002136,orthorhombic,mmm
75,mp-1002164,cubic,-43m
76,mp-1002165,cubic,m-3m
77,mp-1002181,cubic,-43m
78,mp-1002182,cubic,m-3m
79,mp-1002183,cubic,m-3m
80,mp-1002184,cubic,-43m
81,mp-1002187,cubic,m-3m
82,mp-1002188,hexagonal,-6m2
83,mp-1002197,hexagonal,-6m2
84,mp-1002206,cubic,m-3m
85,mp-1002207,cubic,m-3m
86,mp-1002209,cubic,-43m
87,mp-1002210,cubic,m-3m
88,mp-1002219,cubic,-43m
89,mp-1002220,cubic,m-3m
90,mp-1002221,cubic,m-3m
91,mp-1002222,cubic,m-3m
92,mp-1002223,cubic,m-3m
93,mp-1002224,cubic,m-3m
94,mp-1002226,cubic,m-3m
95,mp-1002227,cubic,m-3m
96,mp-1002228,cubic,m-3m
97,mp-1002229,cubic,m-3m
98,mp-10023,cubic,m-3m
99,mp-10024,cubic,m-3m
100,mp-1002569,orthorhombic,mmm
101,mp-1002571,triclinic,-1
102,mp-1002573,monoclinic,1
103,mp-10026,hexagonal,6/mmm
104,mp-10027,hexagonal,6/mmm
105,mp-10030,hexagonal,-6m2
106,mp-10032,monoclinic,2/m
107,mp-10033,hexagonal,6/mmm
108,mp-1003311,triclinic,-1
109,mp-1003314,triclinic,-1
110,mp-10036,cubic,m-3m
111,mp-10037,cubic,m-3m
112,mp-10038,cubic,m-3m
113,mp-10039,cubic,m-3m
114,mp-1004,cubic,m-3m
115,mp-10040,cubic,m-3m
116,mp-10041,cubic,m-3m
117,mp-1004377,cubic,m-3m
118,mp-10044,cubic,-43m
119,mp-1004524,cubic,m-3m
120,mp-1004526,hexagonal,6mm
121,mp-1004530,monoclinic,2
122,mp-10046,hexagonal,6/mmm
123,mp-10048,tetragonal,4/mmm
124,mp-10049,hexagonal,-6m2
125,mp-1005,orthorhombic,mmm
126,mp-10051,cubic,m-3m
127,mp-10052,hexagonal,6/mmm
128,mp-10054,cubic,m-3m
129,mp-10055,orthorhombic,mmm
130,mp-1005693,cubic,m-3m
131,mp-1005752,hexagonal,6/mmm
132,mp-1005760,hexagonal,6/mmm
133,mp-1005761,hexagonal,6/mmm
134,mp-1005762,hexagonal,6/mmm
135,mp-10058,hexagonal,6/mmm
136,mp-1005895,hexagonal,6/mmm
137,mp-10059,hexagonal,6/mmm
138,mp-10060,cubic,m-3m
139,mp-1006057,cubic,m-3m
140,mp-1006059,hexagonal,6/mmm
141,mp-1006068,cubic,m-3m
142,mp-10061,cubic,m-3m
143,mp-1006112,cubic,m-3m
144,mp-1006132,hexagonal,6/mmm
145,mp-1006146,trigonal,-3m
146,mp-1006150,cubic,m-3m
147,mp-1006246,cubic,m-3m
148,mp-1006256,cubic,m-3m
149,mp-1006283,hexagonal,-6
150,mp-10063,tetragonal,-42m
151,mp-1006323,hexagonal,6/mmm
152,mp-1006330,cubic,m-3m
153,mp-1006351,hexagonal,6/mmm
154,mp-1006399,hexagonal,6/mmm
155,mp-10064,cubic,m-3m
156,mp-10068,orthorhombic,mmm
157,mp-1006815,trigonal,-3m
158,mp-1006878,orthorhombic,mmm
159,mp-1006880,cubic,-43m
160,mp-1006882,cubic,-43m
161,mp-1006883,cubic,m-3m
162,mp-1006884,cubic,m-3m
163,mp-1006885,trigonal,-3m
164,mp-1006886,cubic,m-3m
165,mp-1006887,cubic,m-3m
166,mp-1006888,trigonal,-3m
167,mp-1006891,trigonal,-3m
168,mp-1007,cubic,m-3m
169,mp-10074,tetragonal,-42m
170,mp-1007636,trigonal,-3m
171,mp-1007637,tetragonal,4/mmm
172,mp-1007652,hexagonal,6mm
173,mp-1007656,,
174,mp-1007657,,
175,mp-1007660,tetragonal,4/mmm
176,mp-1007661,hexagonal,6mm
177,mp-1007663,trigonal,-3m
178,mp-1007664,tetragonal,4/mmm
179,mp-1007665,trigonal,-3m
180,mp-1007666,orthorhombic,mmm
181,mp-1007685,trigonal,-3m
182,mp-1007690,cubic,m-3m
183,mp-1007691,orthorhombic,mmm
184,mp-1007692,orthorhombic,mmm
185,mp-1007693,cubic,m-3m
186,mp-1007730,cubic,m-3m
187,mp-1007755,tetragonal,4/mmm
188,mp-1007758,tetragonal,4/mmm
189,mp-1007760,hexagonal,6/mmm
190,mp-1007761,hexagonal,6/mmm
191,mp-1007770,cubic,-43m
192,mp-1007776,cubic,-43m
193,mp-1007778,cubic,-43m
194,mp-1007786,monoclinic,2/m
195,mp-10078,tetragonal,4/mmm
196,mp-1007819,cubic,m-3m
197,mp-1007821,cubic,m-3m
198,mp-1007823,tetragonal,-42m
199,mp-1007824,hexagonal,6/mmm
200,mp-1007852,cubic,m-3m
201,mp-1007853,cubic,m-3m
202,mp-1007854,cubic,m-3m
203,mp-1007855,tetragonal,4/mmm
204,mp-1007857,orthorhombic,mmm
205,mp-1007862,tetragonal,4/mmm
206,mp-1007881,orthorhombic,mmm
207,mp-10079,hexagonal,-6m2
208,mp-1007900,trigonal,-3m
209,mp-1007906,hexagonal,6/mmm
210,mp-1007907,trigonal,-3m
211,mp-1007908,trigonal,-3m
212,mp-1007910,trigonal,-3m
213,mp-1007918,orthorhombic,mmm
214,mp-1007922,orthorhombic,mmm
215,mp-1007923,tetragonal,4/mmm
216,mp-1007924,cubic,m-3m
217,mp-1007961,cubic,m-3m
218,mp-1007974,cubic,m-3m
219,mp-1007975,cubic,m-3m
220,mp-1007976,orthorhombic,mmm
221,mp-1007991,cubic,m-3m
222,mp-1007992,hexagonal,6/mmm
223,mp-1008,cubic,m-3m
224,mp-1008223,cubic,-43m
225,mp-1008224,cubic,m-3m
226,mp-1008225,cubic,m-3m
227,mp-1008226,cubic,m-3m
228,mp-1008274,cubic,m-3m
229,mp-1008275,cubic,m-3m
230,mp-1008277,cubic,m-3m
231,mp-1008278,cubic,m-3m
232,mp-1008279,cubic,m-3m
233,mp-1008280,cubic,m-3m
234,mp-1008282,cubic,m-3m
235,mp-1008283,hexagonal,6/mmm
236,mp-1008284,tetragonal,4/mmm
237,mp-1008285,cubic,m-3m
238,mp-1008349,cubic,m-3m
239,mp-1008374,orthorhombic,mmm
240,mp-1008376,cubic,m-3m
241,mp-1008394,orthorhombic,mmm
242,mp-1008395,tetragonal,4/mmm
243,mp-1008471,orthorhombic,mmm
244,mp-1008472,cubic,m-3m
245,mp-1008483,hexagonal,6/mmm
246,mp-1008487,orthorhombic,mmm
247,mp-1008488,hexagonal,6/mmm
248,mp-1008489,cubic,m-3m
249,mp-1008490,cubic,m-3m
250,mp-1008491,cubic,m-3m
251,mp-1008492,orthorhombic,mmm
252,mp-1008498,tetragonal,4/mmm
253,mp-1008500,hexagonal,6/mmm
254,mp-1008501,tetragonal,4/mmm
255,mp-1008505,orthorhombic,mmm
256,mp-1008506,trigonal,3m
257,mp-1008511,trigonal,-3m
258,mp-1008523,tetragonal,-42m
259,mp-1008524,hexagonal,6/mmm
260,mp-1008525,trigonal,3m
261,mp-1008526,trigonal,3m
262,mp-1008527,tetragonal,-42m
263,mp-1008528,tetragonal,-42m
264,mp-1008530,cubic,-43m
265,mp-1008554,cubic,m-3m
266,mp-1008555,cubic,m-3m
267,mp-1008556,tetragonal,-42m
268,mp-1008557,tetragonal,-42m
269,mp-1008558,cubic,-43m
270,mp-1008559,hexagonal,6mm
271,mp-1008561,trigonal,-3m
272,mp-1008568,hexagonal,6/mmm
273,mp-10086,tetragonal,4/mmm
274,mp-1008600,trigonal,-3m
275,mp-1008601,tetragonal,4/mmm
276,mp-1008610,cubic,m-3m
277,mp-1008617,tetragonal,4/mmm
278,mp-1008624,cubic,-43m
279,mp-1008625,trigonal,-3m
280,mp-1008626,trigonal,-3m
281,mp-1008630,cubic,m-3m
282,mp-1008631,cubic,-43m
283,mp-1008632,,
284,mp-1008634,hexagonal,6/mmm
285,mp-1008635,cubic,-43m
286,mp-1008650,cubic,m-3m
287,mp-1008653,cubic,m-3m
288,mp-1008661,hexagonal,-6m2
289,mp-1008673,trigonal,-3m
290,mp-1008676,hexagonal,6/mmm
291,mp-1008677,cubic,m-3m
292,mp-1008680,cubic,-43m
293,mp-1008681,cubic,m-3m
294,mp-1008682,tetragonal,4/mmm
295,mp-1008688,cubic,-43m
296,mp-1008689,cubic,-43m
297,mp-10087,tetragonal,4/mmm
298,mp-1008702,cubic,-43m
299,mp-1008726,cubic,-43m
300,mp-1008727,cubic,-43m
301,mp-1008728,cubic,m-3m
302,mp-1008733,hexagonal,6/mmm
303,mp-1008752,cubic,m-3m
304,mp-1008753,cubic,-43m
305,mp-1008754,trigonal,-3m
306,mp-1008755,hexagonal,6/mmm
307,mp-1008762,hexagonal,-6m2
308,mp-1008776,trigonal,-3m
309,mp-1008777,trigonal,-3m
310,mp-1008785,cubic,m-3m
311,mp-1008786,cubic,m-3m
312,mp-1008798,hexagonal,-6m2
313,mp-1008802,tetragonal,4/mmm
314,mp-1008805,hexagonal,-6m2
315,mp-1008806,tetragonal,4/mmm
316,mp-1008807,cubic,-43m
317,mp-1008809,hexagonal,-6m2
318,mp-1008813,cubic,-43m
319,mp-1008820,cubic,m-3m
320,mp-1008823,orthorhombic,mm2
321,mp-1008826,cubic,m-3m
322,mp-1008832,hexagonal,-6m2
323,mp-1008835,hexagonal,-6m2
324,mp-1008858,cubic,-43m
325,mp-1008860,tetragonal,4/mmm
326,mp-1008865,hexagonal,6/mmm
327,mp-1008866,cubic,-43m
328,mp-1008867,cubic,-43m
329,mp-1008872,cubic,-43m
330,mp-1008873,cubic,-43m
331,mp-1008874,cubic,-43m
332,mp-1008875,cubic,-43m
333,mp-1008876,cubic,-43m
334,mp-1008881,tetragonal,4/mmm
335,mp-1008901,cubic,m-3m
336,mp-1008902,orthorhombic,222
337,mp-1008903,cubic,-43m
338,mp-1008910,trigonal,-3m
339,mp-1008911,cubic,-43m
340,mp-1008912,cubic,-43m
341,mp-1008918,cubic,m-3m
342,mp-1008920,cubic,-43m
343,mp-1008921,cubic,-43m
344,mp-1008922,cubic,m-3m
345,mp-1008923,cubic,m-3m
346,mp-1008924,cubic,m-3m
347,mp-1008925,tetragonal,4mm
348,mp-1008926,cubic,-43m
349,mp-1008927,tetragonal,4mm
350,mp-1008928,cubic,m-3m
351,mp-1008929,cubic,m-3m
352,mp-1008931,cubic,m-3m
353,mp-1008965,hexagonal,-6m2
354,mp-1008985,cubic,m-3m
355,mp-1008986,cubic,m-3m
356,mp-1008987,cubic,-43m
357,mp-1008998,cubic,m-3m
358,mp-1008999,cubic,m-3m
359,mp-1009005,cubic,m-3m
360,mp-1009006,cubic,-43m
361,mp-1009007,cubic,m-3m
362,mp-1009008,cubic,m-3m
363,mp-1009009,cubic,m-3m
364,mp-1009014,cubic,-43m
365,mp-1009015,hexagonal,-6m2
366,mp-1009016,cubic,m-3m
367,mp-1009017,cubic,m-3m
368,mp-1009018,cubic,m-3m
369,mp-1009019,cubic,m-3m
370,mp-1009020,cubic,-43m
371,mp-1009048,cubic,-43m
372,mp-1009049,hexagonal,-6m2
373,mp-1009071,tetragonal,4/mmm
374,mp-1009077,cubic,m-3m
375,mp-1009078,cubic,m-3m
376,mp-1009079,cubic,m-3m
377,mp-1009080,trigonal,-3m
378,mp-1009082,tetragonal,-42m
379,mp-1009083,tetragonal,-42m
380,mp-1009084,tetragonal,-42m
381,mp-1009085,tetragonal,-42m
382,mp-1009086,tetragonal,-42m
383,mp-1009087,tetragonal,-42m
384,mp-1009088,tetragonal,-42m
385,mp-1009113,trigonal,-3m
386,mp-1009127,cubic,m-3m
387,mp-1009128,cubic,m-3m
388,mp-1009129,hexagonal,-6m2
389,mp-1009130,cubic,-43m
390,mp-1009131,cubic,-43m
391,mp-1009132,cubic,-43m
392,mp-1009133,cubic,m-3m
393,mp-1009134,tetragonal,4/mmm
394,mp-1009135,cubic,-43m
395,mp-10092,tetragonal,4/mmm
396,mp-1009206,cubic,m-3m
397,mp-1009207,cubic,m-3m
398,mp-1009213,cubic,-43m
399,mp-1009217,cubic,m-3m
400,mp-1009218,cubic,-43m
401,mp-1009219,hexagonal,-6m2
402,mp-1009220,cubic,m-3m
403,mp-1009221,cubic,m-3m
404,mp-1009222,cubic,-43m
405,mp-1009223,tetragonal,4/mmm
406,mp-1009230,tetragonal,4/mmm
407,mp-1009237,cubic,m-3m
408,mp-1009238,tetragonal,4/mmm
409,mp-1009264,cubic,m-3m
410,mp-1009458,cubic,-43m
411,mp-1009459,cubic,m-3m
412,mp-1009460,hexagonal,6/mmm
413,mp-1009471,cubic,m-3m
414,mp-1009483,cubic,m-3m
415,mp-1009485,cubic,m-3m
416,mp-1009488,cubic,m-3m
417,mp-1009489,cubic,m-3m
418,mp-1009490,monoclinic,2/m
419,mp-1009491,cubic,-43m
420,mp-1009495,cubic,m-3m
421,mp-1009496,cubic,-43m
422,mp-1009504,hexagonal,-6m2
423,mp-1009533,cubic,m-3m
424,mp-1009537,cubic,m-3m
425,mp-1009538,cubic,-43m
426,mp-1009539,cubic,m-3m
427,mp-1009540,cubic,-43m
428,mp-1009541,cubic,-43m
429,mp-1009543,cubic,-43m
430,mp-1009544,cubic,-43m
431,mp-1009547,cubic,-43m
432,mp-1009548,cubic,m-3m
433,mp-1009551,hexagonal,-6m2
434,mp-1009555,cubic,m-3m
435,mp-1009581,trigonal,-3m
436,mp-1009582,cubic,m-3m
437,mp-1009583,tetragonal,4/mmm
438,mp-1009592,cubic,-43m
439,mp-1009593,cubic,-43m
440,mp-1009594,orthorhombic,mmm
441,mp-1009596,cubic,m-3m
442,mp-1009601,hexagonal,-6m2
443,mp-1009639,cubic,-43m
444,mp-1009640,cubic,m-3m
445,mp-1009641,trigonal,-3m
446,mp-1009646,hexagonal,-6m2
447,mp-1009648,hexagonal,-6m2
448,mp-1009649,,
449,mp-1009650,cubic,-43m
450,mp-1009651,trigonal,-3m
451,mp-1009652,cubic,m-3m
452,mp-1009653,trigonal,-3m
453,mp-1009654,trigonal,-3m
454,mp-1009655,hexagonal,6/mmm
455,mp-1009657,tetragonal,4/mmm
456,mp-1009663,cubic,-43m
457,mp-1009694,cubic,m-3m
458,mp-1009695,hexagonal,6/mmm
459,mp-1009696,cubic,-43m
460,mp-1009720,cubic,m-3m
461,mp-1009730,cubic,m-3m
462,mp-1009731,cubic,m-3m
463,mp-1009732,hexagonal,-6m2
464,mp-1009733,cubic,m-3m
465,mp-1009734,cubic,-43m
466,mp-1009735,hexagonal,-6m2
467,mp-1009746,cubic,-43m
468,mp-1009747,cubic,-43m
469,mp-1009748,cubic,m-3m
470,mp-1009750,cubic,-43m
471,mp-1009751,cubic,-43m
472,mp-1009752,cubic,-43m
473,mp-1009753,cubic,-43m
474,mp-1009755,cubic,m-3m
475,mp-1009756,cubic,m-3m
476,mp-1009757,orthorhombic,mmm
477,mp-1009766,cubic,-43m
478,mp-1009767,hexagonal,-6m2
479,mp-1009769,cubic,m-3m
480,mp-1009770,cubic,-43m
481,mp-1009787,cubic,m-3m
482,mp-1009792,cubic,-43m
483,mp-10098,hexagonal,6mm
484,mp-1009813,cubic,-43m
485,mp-1009814,tetragonal,4/mmm
486,mp-1009817,hexagonal,-6m2
487,mp-1009818,tetragonal,-42m
488,mp-1009819,cubic,m-3m
489,mp-1009820,cubic,-43m
490,mp-1009822,cubic,m-3m
491,mp-1009823,hexagonal,6/mmm
492,mp-1009826,cubic,m-3m
493,mp-1009827,tetragonal,4/mmm
494,mp-1009828,tetragonal,4mm
495,mp-1009829,cubic,m-3m
496,mp-1009830,orthorhombic,mmm
497,mp-1009831,cubic,m-3m
498,mp-1009832,cubic,-43m
499,mp-1009833,cubic,-43m
500,mp-1009834,tetragonal,4/mmm
501,mp-1009835,cubic,m-3m
502,mp-1009836,cubic,m-3m
503,mp-1009837,cubic,m-3m
504,mp-1009838,hexagonal,-6m2
505,mp-1009839,cubic,m-3m
506,mp-1009848,cubic,-43m
507,mp-1009878,cubic,m-3m
508,mp-1009885,cubic,-43m
509,mp-1009894,cubic,-43m
510,mp-101,cubic,m-3m
511,mp-1010,orthorhombic,mmm
512,mp-1010048,tetragonal,4/mmm
513,mp-1010071,cubic,m-3m
514,mp-10101,tetragonal,4/mmm
515,mp-1010136,tetragonal,4/mmm
516,mp-1010161,cubic,m-3m
517,mp-10102,tetragonal,4/mmm
518,mp-10106,tetragonal,4/mmm
519,mp-1010953,cubic,m-3m
520,mp-10110,cubic,m-3m
521,mp-1011031,cubic,m-3m
522,mp-10112,hexagonal,6/mmm
523,mp-10113,cubic,m-3m
524,mp-1011374,trigonal,3m
525,mp-1011375,tetragonal,4/mmm
526,mp-1011376,hexagonal,6/mmm
527,mp-1011377,orthorhombic,mmm
528,mp-1011695,cubic,m-3m
529,mp-1011697,cubic,m-3m
530,mp-1011730,orthorhombic,mmm
531,mp-10118,orthorhombic,mmm
532,mp-10120,cubic,m-3m
533,mp-1012110,orthorhombic,mmm
534,mp-1012435,hexagonal,6mm
535,mp-10125,hexagonal,6/mmm
536,mp-1012640,monoclinic,m
537,mp-10133,cubic,m-3m
538,mp-10134,cubic,m-3m
539,mp-10135,cubic,m-3m
540,mp-1013524,cubic,m-3m
541,mp-1013525,hexagonal,6/mmm
542,mp-1013526,trigonal,-3m
543,mp-1013527,tetragonal,-42m
544,mp-1013528,cubic,m-3m
545,mp-1013529,cubic,m-3m
546,mp-1013530,cubic,m-3m
547,mp-1013531,cubic,m-3m
548,mp-1013532,cubic,m-3m
549,mp-1013533,cubic,m-3m
550,mp-1013534,cubic,m-3m
551,mp-1013535,cubic,m-3m
552,mp-1013536,cubic,m-3m
553,mp-1013537,cubic,m-3m
554,mp-1013540,cubic,m-3m
555,mp-1013541,cubic,m-3m
556,mp-1013542,cubic,m-3m
557,mp-1013543,cubic,m-3m
558,mp-1013544,cubic,m-3m
559,mp-1013545,cubic,m-3m
560,mp-1013546,cubic,m-3m
561,mp-1013547,cubic,m-3m
562,mp-1013548,cubic,m-3m
563,mp-1013549,cubic,m-3m
564,mp-1013550,cubic,m-3m
565,mp-1013551,cubic,m-3m
566,mp-1013552,cubic,m-3m
567,mp-1013553,cubic,m-3m
568,mp-1013554,cubic,m-3m
569,mp-1013555,cubic,m-3m
570,mp-1013557,cubic,m-3m
571,mp-1013558,cubic,m-3m
572,mp-1013559,cubic,m-3m
573,mp-1013560,cubic,m-3m
574,mp-1013561,cubic,m-3m
575,mp-1013562,cubic,m-3m
576,mp-1013563,cubic,m-3m
577,mp-1013564,cubic,m-3m
578,mp-1013582,cubic,m-3m
579,mp-1013583,cubic,m-3m
580,mp-1013584,cubic,m-3m
581,mp-1013585,cubic,m-3m
582,mp-1013586,cubic,m-3m
583,mp-1013587,cubic,m-3m
584,mp-1013588,cubic,m-3m
585,mp-1013642,cubic,m-3m
586,mp-1013643,cubic,m-3m
587,mp-1013691,cubic,m-3m
588,mp-1013702,cubic,m-3m
589,mp-1013703,cubic,m-3m
590,mp-1013704,cubic,m-3m
591,mp-1013705,cubic,m-3m
592,mp-1013706,cubic,m-3m
593,mp-1013707,cubic,m-3m
594,mp-1013708,cubic,m-3m
595,mp-1013709,cubic,m-3m
596,mp-1013710,cubic,m-3m
597,mp-1013711,cubic,m-3m
598,mp-1013712,cubic,m-3m
599,mp-1013713,cubic,m-3m
600,mp-1013714,cubic,m-3m
601,mp-1013716,cubic,m-3m
602,mp-1013719,cubic,m-3m
603,mp-1013733,cubic,m-3m
